lote,cantidad,clase,sexo,edad,raza,peso_prom_kg,precio_bs_kg,subtotal_bs,total_bs,procedencia,segundo_video
349,10,Vaquillona,hembra,4 Años,Mestizo,309.5,14.0,4376.82,43768.2,CABEZAS,30610
350,9,Vaca,hembra,5 Años,Mestizo,357.22,13,4736.74,42630.9,CABEZAS,30740
351,6,Vaquilla,hembra,2 Años,Mestizo,266.67,15.3,4161.65,24969.6,CABEZAS,30840
352,9,Vaca,hembra,5 Años,Nelore,292.22,12.6,3755.61,33800.76,CHARAGUA,29340
353,8,Torillo,macho,3 Años,Nelore,352.5,23.3,8377.52,67020.12,PAILON SUR,13470
354,8,Torillo,macho,2.5 Años,Brahman,392.5,23.0,9117.78,72942.2,CUATRO CAÑADAS,11840
355,9,Torillo,macho,2.5 Años,Cruce Industrial,275.56,21.5,6043.03,54386.4,CUATRO CAÑADAS,13620
356,8,Vaquilla,hembra,3 Años,Nelore,371.25,19.2,7199.28,57594.24,CONCEPCIÓN,4880
357,8,Vaquilla,hembra,3 Años,Nelore SIN PREÑEZ.,373.75,18.8,7096.77,56774.12,CONCEPCIÓN,4520
358,6,Vaca,hembra,5 Años,Nelore,416.67,17.0,7154.22,42925.0,CONCEPCIÓN,4350
359,5,Vaca,hembra,5 Años,Nelore,380.0,17.8,6831.64,34158.2,CONCEPCIÓN,4240
361,26,Ternero,macho,10 Meses,Nelore,222.56,25.2,5664.65,147283.92,MONTERO,16130
362,17,Ternero,macho,10 Meses,Nelore,184.71,26.5,4992.71,84874.2,GUARAYOS,16260
363,25,Vaquilla,hembra,1.5 Años,Nelore,220.0,22.5,5049.0,126225.0,PORONGO,22790
364,9,Vaca,hembra,5 Años,Nelore,353.33,13.0,4685.16,42166.8,CONCEPCIÓN,24300
365,18,Vaca,hembra,5 Años,Nelore,348.12,18.5,6504.87,117088.35,CONCEPCIÓN,24620
366,15,Vaca,hembra,5 Años,Nelore AYUNO EXT.,390.67,13,5180.28,77703.6,CONCEPCIÓN,24770
367,12,Vaca,hembra,5 Años,Nelore,302.58,15.3,4675.25,56103.57,CHARAGUA,24930
368,12,Vaca,hembra,5 Años,Brahman,435.42,13.0,5717.06,68604.25,OKINAWA,23420
369,11,Vaca,hembra,5 Años,Brahman,380.0,11.7,4490.46,49395.06,OKINAWA,23650
370,11,Vaca,hembra,5 Años,Brahman,387.73,11.3,4425.16,48676.44,OKINAWA,23790
374,1,Torillo,macho,3 Años,Nelore,380.0,22.7,8841.65,8841.65,CABEZAS,35240
375,1,Vaquillona,hembra,4 Años,Mestizo,520.0,20,10660.0,10660.0,CABEZAS,530
377,1,Vaca,hembra,5 Años,Nelore,370.0,17.8,6750.65,6750.65,COLPA BELGICA,430
378,2,Ternero,macho,<= 4 Meses,Nelore,117.5,34,4094.88,8189.75,COLPA BELGICA,34970
379,2,Ternera,hembra,<= 4 Meses,Nelore,125.0,27.7,3497.81,6995.62,COLPA BELGICA,34890
380,1,Ternero,macho,<= 4 Meses,Holando,140.0,19.1,2740.85,2740.85,COLPA BELGICA,34760
381,3,Vaca,hembra,5 Años,Mestizo,273.33,12.0,3361.96,10086.0,COMARAPA,35340
382,2,Vaca,hembra,5 Años,Mestizo,372.5,13.5,5078.11,10156.21,COTOCA,850
383,1,Vaca,hembra,5 Años,Nelore,310.0,18.0,5719.5,5719.5,COTOCA,760
384,1,Ternero,macho,8 Meses,Holando,125.0,22.3,2857.19,2857.19,COTOCA,35620
385,1,Torillo,macho,1 Año,Mestizo,205.0,21.3,4366.5,4366.5,COTOCA,35690
386,1,Ternera,hembra,6 Meses,Anelorado,130.0,23.5,3131.38,3131.38,COTOCA,35770
387,1,Vaca,hembra,5 Años,Holando,340.0,13.3,4566.89,4566.89,COTOCA,35510
389,1,Vaquilla,hembra,2 Años,Mestizo,260.0,15.5,4130.75,4130.75,SAN JAVIER,33530
390,1,Torillo,macho,2.5 Años,Brahman,430.0,22.5,9916.88,9916.88,PORONGO,35160
391,2,Toro,macho,4 Años,Brahman,655.0,22.0,14770.25,29540.5,CABEZAS,35090
392,11,Ternera,hembra,10 Meses,Nelore,147.27,20.7,3079.42,33874.2,CHARAGUA,30960
393,2,Ternero,macho,8 Meses,Nelore,172.5,23.0,4066.69,8133.38,CHARAGUA,35890
394,16,Torillo,macho,2 Años,Mestizo,263.13,17,4562.67,73001.4,ANDRES IBAÑEZ,16420
395,2,Torillo,macho,2.5 Años,Pardo,355.0,19.5,7095.56,14191.12,ANDRES IBAÑEZ,35830
396,1,Vaquilla,hembra,3 Años,Anelorado,340.0,19.0,6621.5,6621.5,PAILON SUR,620
397,3,Toro,macho,5 Años,Anelorado,490.0,21.0,10392.9,31178.7,PAILON SUR,12300
398,3,Vaca,hembra,5 Años,Nelore,466.67,16.5,7777.06,23331.0,PAILON SUR,1540
399,4,Toro,macho,4 Años,Anelorado,502.5,22.9,11622.32,46489.29,SAN JAVIER,12140
401,26,Torillo,macho,1 Año,Nelore,227.5,27.1,6288.56,163502.43,GUARAYOS,19660
402,20,Torillo,macho,1 Año,Nelore,158.25,30.5,4923.16,98463.15,GUARAYOS,19830
403,10,Vaquilla,hembra,1 Año,Nelore,140.0,23.2,3312.96,33129.6,GUARAYOS,20010
404,16,Vaquilla,hembra,3 Años,Nelore,257.5,17.8,4629.78,74076.48,YAPACANI,21950
405,1,Vaca,hembra,5 Años,Anelorado,375.0,15.6,5996.25,5996.25,SAN JAVIER,36040
406,9,Torillo,macho,1 Año,Mestizo,159.8,19.5,3116.17,28044.9,SAN JAVIER,22610
407,4,Vaquilla,hembra,1 Año,Mestizo,157.5,16.5,2650.73,10602.9,SAN JAVIER,22520
408,25,Torillo,macho,2 Años,Nelore,327.2,23.7,7909.73,197743.32,GUARAYOS,23220
409,1,Toro,macho,5 Años,Nelore,690.0,19.1,13508.48,13508.48,CONCEPCIÓN,26270
410,1,Vaca,hembra,5 Años,Holando,485.0,8.0,3977.0,3977.0,SAN JAVIER,27840
411,2,Ternero,macho,5 Meses,Mestizo,112.5,26.0,2998.13,5996.25,GUARAYOS,28490
412,4,Torillo,macho,2 Años,Mest Brahman,341.25,23.0,8005.73,32022.9,VILLAMONTES,29450
413,5,Vaca,hembra,5 Años,Mestizo,407.0,17.9,7358.15,36790.76,VILLAMONTES,29650
414,2,Toro,macho,5 Años,Brahman,617.5,20.5,12658.75,25317.5,VILLAMONTES,29840
415,2,Vaca,hembra,5 Años,Mestizo,337.5,15.8,5384.84,10769.68,VILLAMONTES,29750
416,25,Torillo,macho,1 Año,Nelore,249.4,23.5,5978.12,149452.95,YAPACANI,30220
417,1,Torillo,macho,1 Año,Nelore,225.5,21.0,4735.5,4735.5,YAPACANI,36330
418,10,Torillo,macho,1 Año,Anelorado,225.0,18.8,4314.6,43146.0,CABEZAS,30440
419,1,Vaquilla,hembra,3 Años,Nelore,430.0,19.0,8374.25,8374.25,CABEZAS,36650
420,1,Vaca,hembra,5 Años,Nelore,319.6,15.5,5004.56,5004.56,CABEZAS,36730
421,1,Vaca,hembra,5 Años,Mestizo,480.0,16.5,8118.0,8118.0,CABEZAS,36560
422,8,Ternero,macho,7 Meses,Cruce Industrial,173.75,21.9,3881.23,31049.82,PORONGO,31160
423,15,Torillo,macho,1 Año,Nelore,286.0,23.9,6972.11,104581.62,PORTACHUELO,31440
424,9,Torillo,macho,2 Años,Nelore,388.25,21.5,8430.77,75877.8,MINEROS,31570
425,3,Torillo,macho,2 Años,Nelore,288.33,18.5,5467.46,16402.56,MINEROS,36930
426,2,Torillo,macho,1 Año,Nelore,245.0,23.2,5826.1,11652.2,MINEROS,36850
427,17,Vaquillona,hembra,4 Años,Nelore,324.41,16.6,5439.06,92464.49,SAN IGNACIO DE V,31790
428,17,Vaquillona,hembra,4 Años,Nelore,323.53,16.9,5522.33,93879.5,SAN IGNACIO DE V,31990
429,16,Vaca,hembra,5 Años,Nelore,313.13,16.7,5281.56,84503.67,SAN IGNACIO DE V,32270
430,14,Vaca,hembra,5 Años,Nelore,308.21,17.0,5291.97,74088.55,SAN IGNACIO DE V,32430
431,9,Vaca,hembra,5 Años,Nelore,376.67,16.4,6239.16,56151.96,SAN IGNACIO DE V,32590
432,13,Vaca,hembra,5 Años,Nelore,302.31,15,4580.0,59539.5,SAN IGNACIO DE V,32720
433,4,Vaca,hembra,5 Años,Nelore,321.25,15.6,5061.62,20246.46,SAN IGNACIO DE V,33010
434,9,Vaca,hembra,5 Años,Nelore,330.0,15.3,5099.49,45895.41,SAN IGNACIO DE V,33160
435,2,Torillo,macho,2 Años,Brahman,411.0,22.0,9132.75,18265.5,MONTERO,37050
436,1,Vaquilla,hembra,1 Año,Anelorado,215.0,18,3966.75,3966.75,MONTERO,37390
437,2,Torillo,macho,2 Años,Nelore,250.0,22.2,5688.75,11377.5,MONTERO,37260
439,6,Vaquillona,hembra,4 Años,Nelore,290.83,16.5,4846.68,29080.42,CONCEPCIÓN,34640
440,2,Ternero,macho,<= 4 Meses,Nelore,105.0,34.0,3659.25,7318.5,CONCEPCIÓN,37340
441,2,Vaca,hembra,5 Años,Mestizo,397.5,14.5,5907.84,11815.69,CHARAGUA,37000
764,9,Torillo,macho,2.5 Años,Anelorado,283.33,18.0,5201.94,46818.0,MONTERO,21110
787,25,Ternero,macho,8 Meses,Nelore,190.4,27,5243.62,131090.4,S.I. MOXOS(BENI),26410
788,9,Torillo,macho,1 Año,Nelore,143.07,26.0,3757.09,33813.0,S.I. MOXOS(BENI),26540
791,4,Toro,macho,7 Meses,Nelore,97.5,34,3381.3,13525.2,S.I. MOXOS(BENI),26720
794,1,Torillo,macho,1 Año,Brahman,260.0,30.0,7995.0,7995.0,S.I. MOXOS(BENI),27040
795,6,Torillo,macho,1 Año,Nelore 2 OBSERVADOS,310.0,17.8,5628.36,33770.16,SAN JOSÉ DE CH.,13310
901,13,Torillo,macho,1.5 Años,Mestizo,226.54,17.9,4136.17,53769.81,SAN JAVIER,21330
902,2,Torillo,macho,1.5 Años,Anelorado,242.5,20.0,4971.25,9942.5,SAN CARLOS,35420
905,6,Vaca,hembra,5 Años,Criollo SIN PREÑEZ,323.33,11.8,3853.45,23120.92,PAILON SUR,9370
906,6,Vaca,hembra,5 Años,Criollo SIN PREÑEZ,349.17,10,3526.62,21159.5,PAILON SUR,9510
907,19,Torillo,macho,1 Año,Nelore,194.21,25.0,4952.36,94095.0,YAPACANI,16870
908,14,Torillo,macho,1.5 Años,Nelore,260.0,24.7,6550.44,91706.16,YAPACANI,17000
909,3,Toro,macho,4 Años,Anelorado,400.0,22.0,8888.0,26664.0,SAN RAFAEL DE V.,12230
912,11,Vaca,hembra,5 Años,Brahman,372.73,11.5,4329.26,47621.5,OKINAWA,24130
913,2,Vaca,hembra,5 Años,Brahman,455.0,15.6,7275.45,14550.9,OKINAWA,1360
914,2,Vaquilla,hembra,3 Años,Gyr,345.0,18.5,6447.25,12894.5,OKINAWA,1440
915,5,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,498.0,20.3,10210.49,51052.47,SAN JOSÉ DE CH.,5950
916,5,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,535.0,15.0,8105.25,40526.25,SAN JOSÉ DE CH.,6180
917,12,Torillo,macho,2 Años,Nelore,352.5,23.7,8437.79,101253.51,SAN JOSÉ DE CH.,10950
918,8,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,412.5,19.1,7957.54,63660.3,PAILON SUR,6830
919,7,Vaquilla,hembra,4 Años,Nelore SIN PREÑEZ,355.71,19.4,6969.78,48789.06,PAILON SUR,7010
920,8,Vaquillona,hembra,4 Años,Nelore,400.0,17.0,6868.0,54944.0,PAILON SUR,7130
921,1,Toro,macho,5 Años,Nelore,465.0,23.1,11010.04,11010.04,PAILON SUR,35970
922,10,Vaquilla,hembra,2 años,Nelore,289.0,19.0,5545.91,55459.1,PAILON SUR,7800
925,10,Vaquilla,hembra,2.5 Años,Nelore,290.0,21.3,6238.77,62387.7,PAILON SUR,8180
926,10,Vaquilla,hembra,2.5 Años,Nelore,282.0,21.4,6095.15,60951.48,PAILON SUR,8290
927,9,Vaca,hembra,5 Años,Nelore,376.11,19.0,7217.55,64958.15,SAN JAVIER,8560
928,10,Vaca,hembra,5 Años,Nelore,312.0,15.8,4978.9,49788.96,SAN JAVIER,8750
930,14,Toro,macho,3 Años,Nelore,377.14,22.5,8655.36,121176.0,BUENA VISTA,12430
931,14,Toro,macho,3 Años,Nelore,396.43,23.0,9300.25,130203.0,BUENA VISTA,12610
932,12,Toro,macho,3 Años,Nelore,443.75,21.5,9636.03,115632.38,BUENA VISTA,12740
933,8,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,438.75,20.5,9084.32,72674.55,PAILON SUR,13760
934,8,Vaca,hembra,5 Años,Nelore,491.88,17.8,8843.02,70743.43,PAILON SUR,13970
935,8,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,479.38,20.0,9683.48,77467.0,PAILON SUR,14180
936,5,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,447.0,19.5,8803.67,44018.32,PAILON SUR,14330
937,9,Vaquilla,hembra,3 años,Nelore,373.33,19.5,7352.73,66175.2,PAILON SUR,14470
938,8,Vaquilla,hembra,3 años,Nelore SIN PREÑEZ,380.0,20.5,7867.9,62943.2,PAILON SUR,14600
939,8,Vaquilla,hembra,2 años,Nelore,371.88,20.8,7812.46,62498.8,PAILON SUR,14740
940,8,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,418.13,16.9,7137.06,57095.8,PAILON SUR,14870
941,8,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,412.5,16.6,6915.98,55327.8,PAILON SUR,14980
942,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,459.17,19.0,8811.47,52868.45,SAN JOSÉ DE CH.,20320
943,6,Vaca,hembra,5 Años,Nelore,565.0,20.6,11755.39,70532.34,SAN JOSÉ DE CH.,20430
945,6,Vaca,hembra,5 Años,Cruce Industrial SIN PREÑEZ,496.67,19.7,9882.24,59293.06,SAN JOSÉ DE CH.,20870
947,15,Toro,macho,4 Años,Mestizo,363.33,24.8,9190.8,137863.2,GUARAYOS,17160
948,4,Toro,macho,4 Años,Mestizo,601.25,21.7,13177.6,52710.38,GUARAYOS,17300
950,7,Vaca,hembra,5 Años,Nelore,394.29,20.6,8203.6,57424.56,SAN JAVIER,17660
951,5,Vaca,hembra,5 Años,Nelore,410.0,17.8,7370.98,36854.9,SAN JAVIER,17770
952,5,Vaca,hembra,5 Años,Nelore,510.0,18.2,9374.82,46874.1,SAN JAVIER,17930
953,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,429.17,21.3,9232.73,55395.98,SAN JAVIER,18040
954,3,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,421.67,18.0,7665.96,22997.7,SAN JAVIER,18150
955,7,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,440.71,20.3,9035.88,63251.76,SAN JAVIER,18290
956,7,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,429.29,20.2,8758.37,61308.01,SAN JAVIER,18390
958,25,Torillo,macho,1.5 Años,Nelore,278.2,23.6,6696.83,167420.76,PAILON SUR,22380
959,6,Vaca,hembra,5 Años,Nelore,479.17,18.8,9098.48,54590.5,SAN RAMÓN,18610
960,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,475.83,19.4,9323.41,55940.87,SAN RAMÓN,18760
961,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,456.67,19.7,9086.36,54517.78,SAN RAMÓN,18870
962,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,465.0,19.8,9299.07,55794.42,SAN RAMÓN,19070
963,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,449.17,19.9,9027.87,54166.8,SAN RAMÓN,19230
964,15,Toro,macho,3 Años,Nelore,448.33,22.1,10007.17,150108.72,Sin Definir,12970
965,25,Torillo,macho,1 Año,Nelore,230.8,25.1,5908.94,147723.54,CONCEPCIÓN,25280
966,28,Torillo,macho,1 Año,Nelore,229.64,25.5,5972.94,167244.3,CONCEPCIÓN,25620
967,22,Torillo,macho,1 Año,Nelore,245.0,25.0,6247.5,137445.0,CONCEPCIÓN,25760
968,23,Torillo,macho,1 Año,Nelore,364.57,23.6,8775.93,201843.72,CONCEPCIÓN,26030
969,1,Vaca,hembra,5 Años,Nelore,260.0,15.5,4130.75,4130.75,CONCEPCIÓN,26120
971,7,Vaca,hembra,5 Años,Nelore,399.29,19.5,7864.02,55047.52,SAN JULIAN,33370
972,5,Vaca,hembra,5 Años,Nelore,374.0,15.0,5666.1,28330.5,SAN JAVIER,27370
973,3,Toro,macho,5 Años,Nelore,706.67,20.0,14274.73,42824.0,SAN JAVIER,27260
974,4,Buvilla,hembra,3 Años,Mediterranea,573.75,13.85,8025.9,32103.61,SAN JAVIER,27610
975,3,Buvilla,hembra,3 Años,Mediterranea,505.0,10.3,5253.52,15760.54,SAN JAVIER,27740
976,10,Torillo,macho,1.5 Años,Nelore,164.5,27.0,4530.33,45303.3,GUARAYOS,27990
977,4,Vaquilla,hembra,2 Años,Anelorado,170.0,21.0,3641.4,14565.6,GUARAYOS,28200
978,1,Torillo,macho,2 Años,Holando,246.0,17.1,4206.6,4206.6,GUARAYOS,28390
979,2,Toro,macho,3 Años,Nelore,325.0,23.1,7695.19,15390.38,GUARAYOS,28310
980,1,Toro,macho,3 Años,Gyr,180.0,20.8,3837.6,3837.6,GUARAYOS,28580
981,1,Vaca,hembra,5 Años,Holando,325.0,16.8,5596.5,5596.5,GUARAYOS,28730
982,1,Vaca,hembra,5 Años,Nelore,345.0,19.5,6895.69,6895.69,GUARAYOS,28650
983,1,Vaca,hembra,5 Años,Mestizo,230.0,11.0,2593.25,2593.25,GUARAYOS,28840
985,2,Vaquilla,hembra,2.5 Años,Nelore,267.5,17.8,4880.54,9761.08,SAN JAVIER,15580
986,4,Toro,macho,5 Años,Nelore,537.5,21.5,11671.81,46687.25,SAN JAVIER,15390
987,8,Vaquilla,hembra,3 Años,Anelorado,275.0,19.0,5329.5,42636.0,COLPA BELGICA,20170
990,1,Vaca,hembra,5 Años,Nelore,490.0,20.5,10296.13,10296.12,COTOCA,36240
991,1,Vaca,hembra,5 Años,Holando,369.0,15.5,5719.5,5719.5,COTOCA,36380
992,1,Novillo,macho,3 Años,Mestizo,325.0,19.5,6495.94,6495.94,COTOCA,36180
993,1,Toro,macho,3 Años,Brahman,460.0,21.8,10278.7,10278.7,COTOCA,36500
994,4,Toro,macho,3 Años,Nelore,420.0,23.8,10095.96,40383.84,CABEZAS,19420
995,1,Toro,macho,5 Años,Brahman,760.0,20.6,16047.4,16047.4,SAN JAVIER,15800
996,2,Caballo,,5 Años,Mestizo,372.5,9.5,3627.22,7254.44,MONTERO,37490
997,6,Torillo,macho,1.5 Años,Nelore,330.83,23.0,7761.27,46568.1,MONTERO,16650
998,15,Torillo,macho,2 Años,Mestizo,255.67,18.8,4902.73,73539.96,YACUIBA,17490
