lote,cantidad,clase,sexo,edad,raza,peso_prom_kg,precio_bs_kg,subtotal_bs,total_bs,procedencia,segundo_video
301,5,Vaca,hembra,5 Años,Nelore,461.0,19.95,9288.92,46444.6,SAN JAVIER,5510
302,4,Vaquillona,hembra,4 Años,Nelore,405.0,22.2,9080.91,36323.64,SAN JAVIER,5340
304,6,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,442.5,19.0,8491.58,50949.45,GUARAYOS,3180
305,5,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,434.0,20.0,8766.8,43834.0,GUARAYOS,3330
306,5,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,356.0,16.5,5932.74,29663.7,GUARAYOS,3670
309,5,Vaquilla,hembra,2.5 Años,Cruce Industrial,429.0,19.8,8579.14,42895.71,PAILON SUR,6650
311,7,Vaca,hembra,5 Años,Mestizo,377.14,16.8,6399.31,44795.52,CABEZAS,2320
312,8,Vaca,hembra,5 Años,Mestizo,407.5,14.3,5885.52,47084.18,CABEZAS,2490
313,6,Vaquillona,hembra,4 Años,Nelore,448.33,21.3,9644.92,57869.97,CABEZAS,7310
315,6,Vaquillona,hembra,4 Años,Nelore,468.33,21.5,10169.79,61019.15,CABEZAS,7520
316,6,Vaquilla,hembra,2.5 Años,Nelore,381.67,21.0,8095.22,48570.9,PAILON SUR,4960
317,4,Vaquillona,hembra,4 Años,Nelore,497.5,19.1,9597.27,38389.09,PAILON SUR,5080
318,7,Vaquillona,hembra,4 Años,Nelore,388.57,16.5,6475.52,45328.8,CONCEPCIÓN,4070
319,7,Vaquillona,hembra,4 Años,Nelore,380.71,17.5,6729.05,47103.88,CONCEPCIÓN,3940
320,7,Vaquillona,hembra,4 Años,Nelore,377.14,18.0,6856.41,47995.2,CONCEPCIÓN,3770
321,7,Novillo,macho,4 Años,Nelore,470.0,22.9,10870.63,76094.41,MONTERO,10520
322,5,Toro,macho,3 Años,Nelore,503.0,21.0,10668.63,53343.15,CABEZAS,10720
323,5,Buey,macho,5 Años,Anelorado,676.0,18.7,12767.61,63838.06,CABEZAS,7700
324,10,Toro,macho,5 Años,Nelore,474.0,23.0,11011.02,110110.2,SAN CARLOS (ICHILO),11150
325,5,Toro,macho,5 Años,Nelore AYUNO EXT.,468.0,23.0,10871.64,54358.2,SAN CARLOS (ICHILO),11300
326,12,Toro,macho,5 Años,Nelore AYUNO EXT.,371.67,24.0,9098.4,109180.8,SAN CARLOS (ICHII,13090
327,8,Toro,macho,5 Años,Anelorado,391.88,22.1,8747.15,69976.34,SAN CARLOS,11550
328,15,Torillo,macho,1.5 Años,Cruce Industrial,298.0,20.0,6019.6,90294.0,PAILON SUR,10060
329,6,Torillo,macho,2 Años,Criollo,305.83,17.5,5405.55,32433.62,PAILON SUR,10240
330,7,Torillo - Novillo,macho,2.5,Criollo NOVILLO,321.43,18.5,6005.92,42041.25,PAILON SUR,9910
331,9,Torillo,macho,2.5 Años,Anelorado,411.11,23.0,9550.09,85951.0,SAN RAFAEL DE V.,11690
332,6,Torillo,macho,1.5 Años,Nelore,263.33,24.0,6446.32,38678.4,GUARAYOS,15930
333,20,Vaquilla,hembra,1.5 Años,Nelore,234.75,23.0,5507.24,110144.7,GUARAYOS,22920
334,17,Vaquilla,hembra,1.5 Años,Nelore AYUNO EXT.,234.95,23.3,5529.16,93994.53,GUARAYOS,23050
335,12,Vaquillona,hembra,4 Años,Nelore,305.0,16.0,4977.6,59731.2,GUARAYOS,27150
336,10,Vaquillona,hembra,4 Años,Nelore AYUNO EXT.,284.0,16.0,4634.88,46348.8,GUARAYOS,26910
337,6,Vaca,hembra,5 Años,Nelore AYUNO EXT.,436.67,17.0,7497.62,44985.4,GUARAYOS,2590
339,9,Vaquillona,hembra,4 Años,Nelore AYUNO EXT.,342.22,15.5,5357.45,48217.4,GUARAYOS,2910
340,9,Vaquillona,hembra,4 Años,Nelore AYUNO EXT.,326.11,15.0,4940.57,44465.25,GUARAYOS,3070
341,4,Vaquilla,hembra,3 Años,Anelorado,348.75,21.2,7467.44,29869.74,GUTIERREZ,4670
342,5,Ternero,macho,<= 4 Meses,Anelorado,171.0,27.3,4761.67,23808.33,CABEZAS,21630
343,11,Vaca,hembra,5 Años,Brahman,360.0,11.5,4181.4,45995.4,OKINAWA,24010
344,4,Ternero,macho,<= 4 Meses,Nelore,178.5,27.3,4873.05,19492.2,COLPA BELGICA,22080
345,9,Vaquilla,hembra,1 Año,Nelore,239.44,20.0,4884.58,43962.0,COLPA BELGICA,25050
346,4,Torillo,macho,1 Año,Mestizo,255.0,16.3,4156.5,16626.0,SAN JAVIER,21500
347,5,Vaquillona,hembra,4 Años,Nelore,332.0,17.0,5756.88,28784.4,SAN JAVIER,29010
348,8,Vaca,hembra,5 Años,Nelore,358.13,14.6,5333.27,42665.58,PORONGO,29160
