lote,cantidad,clase,sexo,edad,raza,peso_prom_kg,precio_bs_kg,subtotal_bs,total_bs,procedencia,segundo_video
201,4,Vaquillona,hembra,4 Años,Cruce Industrial,462.5,19.0,8875.38,35501.5,COTOCA,7150
202,6,Vaquillona,hembra,4 Años,Girholando,405.0,19.4,7935.57,47613.42,CABEZAS,7040
203,5,Vaquillona,hembra,4 Años,Nelore,388.0,18.7,7328.16,36640.78,WARNES,6870
204,5,Vaquillona,hembra,4 Años,Nelore,414.0,19.6,8195.54,40977.72,WARNES,6740
205,7,Vaquillona,hembra,4 Años,Nelore,380.0,18.6,7138.68,49970.76,ANDRES IBAÑEZ,6630
207,6,Vaca,hembra,5 Años,Nelore,388.33,16.4,6432.3,38594.12,ANDRES IBAÑEZ,6340
208,5,Vaquillona,hembra,4 Años,Nelore CONFINAMIENT.,373.0,19.5,7346.24,36731.18,COTOCA,6140
210,8,Vaquilla,hembra,2.5 Años,Nelore,343.75,21.0,7290.94,58327.5,OKINAWA,3770
212,6,Vaca,hembra,5 Años,Nelore,384.17,17.7,6867.81,41206.48,OKINAWA,3590
214,7,Vaca,hembra,5 Años,Nelore,398.57,18.95,7628.43,53399.2,OKINAWA,3380
216,5,Vaquilla,hembra,2.5 Años,Brahman,348.0,19.0,6678.12,33390.6,PAILON SUR,7890
218,5,Vaquilla,hembra,2.5 Años,Brahman,368.0,19.6,7284.93,36424.64,PAILON SUR,7590
219,5,Vaquilla,hembra,2.5 Años,Brahman SIN PREÑEZ,358.0,19.5,7050.81,35254.05,PAILON SUR,7410
220,7,Vaquilla,hembra,2 Años,Nelore,400.0,20.7,8362.8,58539.6,CABEZAS,7290
221,6,Toro,macho,3 Años,Nelore CONFINAMIENT.,550.0,23.2,12887.6,77325.6,SAN RAMÓN,9630
222,10,Toro,macho,3 Años,Nelore,474.0,22.5,10771.65,107716.5,CABEZAS,9820
223,11,Toro,macho,3 Años,Nelore,451.36,22.0,10029.22,110322.3,WARNES,9960
224,12,Toro,macho,3 Años,Nelore,464.17,21.5,10079.45,120952.55,LA GUARDIA,10420
225,10,Toro,macho,3 Años,Nelore,457.0,21.0,9692.97,96929.7,LA GUARDIA,10540
226,10,Toro,macho,3 Años,Nelore,462.0,21.5,10032.33,100323.3,LA GUARDIA,11140
227,14,Torillo,macho,2.5 Años,Brangus,408.21,24.2,9977.47,139686.03,BUENA VISTA,13340
228,13,Torillo,macho,2.5 Años,Brangus,366.92,23.5,8708.85,113215.95,BUENA VISTA,13020
231,15,Torillo,macho,2 Años,Nelore,400.67,23.3,9428.97,141433.33,PORTACHUELO,12060
232,13,Toro,macho,3 Años,Nelore,453.85,22.3,10222.06,132885.7,PORTACHUELO,11870
233,12,Toro,macho,3 Años,Nelore,473.75,21.3,10191.78,122301.4,PORTACHUELO,11460
234,10,Toro,macho,3 Años,Nelore,474.0,21.6,10340.78,103407.84,CABEZAS,11610
235,9,Toro,macho,3 Años,Nelore,390.56,22.3,8796.58,79168.34,CABEZAS,11730
236,6,Toro,macho,4 Años,Nelore,546.67,22.5,12423.08,74538.0,PAILON SUR,10630
237,7,Toro,macho,4 Años,Nelore,581.43,19.5,11451.26,80158.65,PAILON SUR,10870
238,7,Toro,macho,4 Años,Nelore,573.57,19.3,11180.6,78264.4,PAILON SUR,11030
240,14,Toro,macho,3 Años,Nelore,408.57,22.0,9078.43,127098.4,CHARAGUA,10200
241,6,Ternero,macho,9 Meses,Nelore,159.9,27.0,4360.41,26163.0,WARNES,21740
242,5,Vaquilla,hembra,2 Años,Nelore,318.0,19.6,6295.13,31475.64,EL TORNO,3870
243,22,Ternero,macho,10 Meses,Nelore,170.23,28.0,4861.77,106957.2,CONCEPCIÓN,16380
244,4,Torillo,macho,3 Años,Mestizo,320.0,17.6,5688.32,22753.28,EL TORNO,13460
246,4,Torillo,macho,2.5 Años,Nelore,362.5,23.3,8530.71,34122.85,SAN MIGUEL DE V.,13660
247,5,Torillo,macho,2.5 Años,Mestizo,285.0,19.8,5699.43,28497.15,PORONGO,13810
248,5,Vaquilla,hembra,2 Años,Nelore,260.0,19.3,5118.36,25591.8,WARNES,26130
249,10,Torillo,macho,1 Año,Anelorado,191.5,25.0,4883.25,48832.5,SAN IGNACIO DE V,21640
250,7,Ternera,hembra,1 Año,Nelore,172.86,24.0,4231.61,29620.8,YAPACANI,16720
251,13,Ternero,macho,10 Meses,Nelore,169.35,24.5,4190.57,54478.2,YAPACANI,16860
252,7,Vaquilla,hembra,3 Años,Nelore,380.0,19.7,7560.86,52926.02,CABEZAS,4190
254,6,Vaquilla,hembra,3 Años,Nelore,392.5,20.5,8126.71,48760.28,CABEZAS,4400
256,5,Vaquillona,hembra,4 Años,Nelore,422.0,18.3,7799.83,38999.13,CABEZAS,4080
