lote,cantidad,clase,sexo,edad,raza,peso_prom_kg,precio_bs_kg,subtotal_bs,total_bs,procedencia,segundo_video
257,22,Ternera,hembra,7 Meses,Brangus I. A. T. F.,197.27,25.0,5030.39,110670.0,SAN CARLOS,16240
258,24,Ternero,macho,7 Meses,Brangus I. A. T. F.,209.58,27,5771.83,138526.2,SAN CARLOS,16060
259,5,Vaquilla,hembra,3 Años,Nelore,397.0,21.5,8620.86,43104.28,COTOCA,4510
260,1,Torillo,macho,1 Año,Anelorado,375.0,17.5,6726.56,6726.56,WARNES,30560
261,10,Vaca,hembra,5 Años,Nelore,304.5,14.3,4397.68,43976.79,WARNES,25560
262,14,Vaquilla,hembra,2 Años,Nelore,263.57,19.0,5107.99,71512.2,PAILON SUR,25250
263,25,Vaquilla,hembra,1 Año,Anelorado,192.0,19.0,3720.96,93024.0,WARNES,17770
264,6,Toro,macho,5 Años,Anelorado,495.83,21.5,10766.95,64602.12,CABEZAS,13950
266,7,Vaquillona,hembra,4 Años,Nelore,420.0,21.2,8993.04,62951.28,EL TORNO,8040
268,14,Toro,macho,3 Años,Nelore,412.14,22.0,9157.75,128209.4,CHARAGUA,11270
269,15,Ternero,macho,8 Meses,Nelore,167.33,28.8,4915.49,73733.76,SAN JAVIER,18830
270,27,Torillo,macho,1 Año,Brahman,272.22,25.4,7052.68,190423.8,PAILON SUR,16610
271,1,Vaquilla,hembra,2 Años,Nelore,345.0,18.0,6365.25,6365.25,WARNES,440
272,1,Vaca,hembra,5 Años,Gyr,375.0,20.5,7764.38,7764.38,PORONGO,1280
273,1,Vaquilla,hembra,3 Años,Mestizo,305.0,18,5627.25,5627.25,PORONGO,1350
274,1,Vaca,hembra,5 Años,Nelore,440.0,18.3,8253.3,8253.3,COLPA BELGICA,540
275,1,Torillo,macho,1 Año,Holando,210.0,13.6,2927.4,2927.4,COLPA BELGICA,32540
277,3,Torillo,macho,2 Años,Gyr,241.67,19.6,4831.47,14494.2,LA GUARDIA,24190
278,1,Vaquilla,hembra,1 Año,Mestizo,280.0,19.5,5596.5,5596.5,COTOCA,740
279,1,Torillo,macho,1 Año,Holando,240.0,15.5,3813.0,3813.0,COTOCA,31450
280,1,Torillo,macho,2 Años,Anelorado,315.0,18.5,5973.19,5973.19,COTOCA,31380
281,2,Ternero,macho,6 Meses,Holando,130.0,12.5,1665.63,3331.25,COTOCA,31090
282,1,Torillo,macho,2.5 Años,Nelore,365.0,22.5,8417.81,8417.81,EL TORNO,30260
283,1,Torillo,macho,3 Años,Anelorado,355.0,19.0,6913.62,6913.62,EL TORNO,29860
284,3,Toro,macho,4 Años,Nelore,540.0,23.3,12707.82,38123.46,SAN JAVIER,29380
285,2,Toro,macho,4 Años,Anelorado,485.0,22.5,11185.31,22370.62,SAN JAVIER,30870
286,1,Vaquilla,hembra,1 Año,Mestizo,300.0,18.5,5688.75,5688.75,SAN JAVIER,260
287,1,Vaca,hembra,5 Años,Holando,525.0,13.0,6995.63,6995.62,SAN JAVIER,340
288,4,Ternero,macho,5 Meses,Mestizo,141.25,17.0,2449.28,9797.1,CABEZAS,28490
289,4,Ternera,hembra,5 Meses,Mestizo,115.0,23.0,2697.9,10791.6,CABEZAS,28360
290,2,Mixto Bovino,mixto,4 Años,Mestizo,372.5,18.3,6987.17,13974.34,PORONGO,960
291,5,Ternero,macho,7 Meses,Mestizo,168.0,19,3255.84,16279.2,WARNES,18450
292,1,Torillo,macho,1 Año,Brahman,225.0,23.5,5419.69,5419.69,WARNES,32710
293,2,Vaca,hembra,5 Años,Mestizo,450.0,17.5,8071.88,16143.75,WARNES,1850
294,2,Vaquilla,hembra,3 Años,Mestizo,382.5,19.0,7449.19,14898.38,WARNES,1760
295,1,Toro,macho,4 Años,Nelore,495.0,20.8,10553.4,10553.4,SAN IGNACIO DE V,30490
296,1,Vaca,hembra,5 Años,Nelore,360.0,15.5,5719.5,5719.5,SAN IGNACIO DE V,180
297,1,Toro,macho,4 Años,Anelorado,525.0,18,9686.25,9686.25,EL TORNO,30320
298,1,Torillo,macho,2 Años,Mestizo,400.0,18.5,7585.0,7585.0,EL TORNO,30120
299,1,Toro,macho,4 Años,Gyr,520.0,18,9594.0,9594.0,WARNES,29790
701,1,Torillo,macho,2 Años,Brahman,275.0,23.5,6624.06,6624.06,COLPA BELGICA,32620
702,2,Torillo,macho,1 Año,Mestizo,190.0,19.0,3700.25,7400.5,COLPA BELGICA,32790
703,4,Vaquilla,hembra,2.5 Años,Mestizo,277.5,19.6,5493.39,21973.56,CHARAGUA,5090
704,3,Vaquilla,hembra,3 Años,Anelorado,390.0,19.8,7799.22,23397.66,CHARAGUA,2890
705,2,Vaca,hembra,5 Años,Criollo,369.0,17.5,6457.5,12915.0,CHARAGUA,3010
706,1,Ternera,hembra,7 Meses,Nelore,137.0,24.3,3362.51,3362.51,CHARAGUA,32110
707,3,Vaca,hembra,5 Años,Criollo,313.33,10.5,3372.21,10116.75,CHARAGUA,31900
708,1,Vaquilla,hembra,3 Años,Criollo,210.0,14.5,3121.13,3121.12,CHARAGUA,32000
709,1,Vaca,hembra,5 Años,Girholando,510.0,16.8,8782.2,8782.2,WARNES,820
710,1,Vaca,hembra,5 Años,Nelore,475.0,18.7,9104.56,9104.56,WARNES,680
711,4,Vaca,hembra,5 Años,Nelore,314.25,15.1,4793.87,19175.49,SAN MATIAS,27780
712,1,Ternero,macho,7 Meses,Nelore,150.0,25.6,3936.0,3936.0,SAN MATIAS,31160
713,2,Toro,macho,4 Años,Anelorado,395.0,17,6882.88,13765.75,SAN MATIAS,30660
714,6,Toro,macho,3 Años,Criollo,348.33,17.0,5980.83,35885.3,MACHARETY,14400
715,6,Toro,macho,3 Años,Criollo,367.5,17.0,6309.98,37859.85,MACHARETY,14530
716,1,Toro,macho,5 Años,Criollo,570.0,18.0,10516.5,10516.5,MACHARETY,30020
717,2,Vaca,hembra,5 Años,Criollo,450.0,19.0,8763.75,17527.5,MACHARETY,1630
718,7,Ternero,macho,7 Meses,Mestizo,189.29,19.2,3707.06,25948.8,VILLAMONTES,25890
719,2,Vaca,hembra,5 Años,Criollo,325.0,14.0,4597.13,9194.25,VILLAMONTES,2430
720,1,Vaquilla,hembra,2.5 Años,Mestizo,255.0,19.4,5070.68,5070.68,VILLAMONTES,2530
721,1,Novillo,macho,3 Años,Criollo,250.0,17.3,4433.13,4433.12,VILLAMONTES,2340
723,5,Ternera,hembra,5 Meses,Nelore,156.0,23.0,3659.76,18298.8,CABEZAS,27520
724,8,Vaca,hembra,5 Años,Nelore,303.68,13.8,4231.67,33852.78,COTOCA,26000
725,2,Vaquilla,hembra,3 Años,Mestizo,327.5,17.5,5874.53,11749.06,COTOCA,2250
726,5,Ternera,hembra,10 Meses,Gyr,207.0,20.1,4202.91,21014.55,COTOCA,27660
727,5,Toro,macho,4 Años,Anelorado,433.0,20.8,9096.46,45482.32,SAN JULIAN,14050
728,1,Vaca,hembra,5 Años,Anelorado,365.0,19.5,7295.44,7295.44,SAN JULIAN,1120
729,6,Torillo,macho,2 Años,Mestizo,344.17,21.0,7372.12,44232.3,EL TORNO,21820
730,2,Torillo,macho,2 Años,Anelorado,342.5,21.0,7264.69,14529.38,EL TORNO,30920
731,6,Torillo,macho,1 Año,Mestizo,208.67,18.5,3899.86,23398.8,EL TORNO,28160
732,3,Toro,macho,3 Años,Nelore,406.67,20.8,8543.32,25629.76,PORONGO,29590
733,6,Vaca,hembra,5 Años,Nelore,396.67,17.75,7111.3,42667.45,CABEZAS,5960
734,4,Vaca,hembra,5 Años,Anelorado,400.0,17.4,7029.6,28118.4,CABEZAS,5830
735,5,Vaca,hembra,5 Años,Mestizo,439.0,19.0,8424.41,42122.05,WARNES,8520
736,4,Torillo,macho,1.5 Años,Mestizo,266.25,19.9,5351.36,21405.44,WARNES,8870
737,1,Vaca,hembra,5 Años,Mestizo,325.0,12.3,4097.44,4097.44,WARNES,8640
738,7,Ternero,macho,8 Meses,Nelore,170.0,29.0,5028.6,35200.2,PAILON SUR,17030
739,1,Vaca,hembra,5 Años,Nelore,340.0,18.5,6352.44,6352.44,PAILON SUR,1050
740,1,Toro,macho,5 Años,Nelore,695.0,18.0,12822.75,12822.75,PAILON SUR,30190
741,2,Toro,macho,3 Años,Nelore,422.5,20.8,9007.7,18015.4,PAILON SUR,30790
743,4,Vaca,hembra,5 Años,Nelore,486.25,19.0,9331.14,37324.55,CUATRO CAÑADAS,5640
744,4,Toro,macho,3 Años,Nelore,412.5,21.8,9082.43,36329.7,WARNES,14720
745,5,Toro,macho,3 Años,Mestizo,345.0,18.0,6272.1,31360.5,VILLAMONTES,14790
746,2,Vaca,hembra,5 Años,Mestizo,305.0,14.5,4533.06,9066.12,VILLAMONTES,2170
747,4,Vaquilla,hembra,2.5 Años,Mestizo,320.0,18.5,5979.2,23916.8,VILLAMONTES,4790
748,3,Torillo,macho,1 Año,Mestizo,216.67,20.0,4441.74,13325.0,VILLAMONTES,32220
749,1,Vaquilla,hembra,1 Año,Mestizo,215.0,18.5,4076.94,4076.94,VILLAMONTES,32280
750,7,Ternero,macho,7 Meses,Cruce Industrial,199.82,25.3,5105.98,35741.31,VILLAMONTES,17200
751,8,Ternero,macho,7 Meses,Brahman,163.75,27.5,4593.19,36745.5,VILLAMONTES,17300
752,7,Ternera,hembra,8 Meses,Nelore,166.43,24.0,4074.21,28519.2,CABEZAS,27320
753,3,Toro,macho,4 Años,Anelorado,456.67,20.8,9593.72,28780.96,CABEZAS,29480
754,3,Torillo,macho,2.5 Años,Anelorado,345.0,22.0,7779.75,23339.25,CABEZAS,31760
755,1,Toro,macho,5 Años,Holando,640.0,18.0,11808.0,11808.0,CABEZAS,29730
756,3,Vaca,hembra,5 Años,Holando,470.0,13.8,6550.86,19652.58,CABEZAS,2770
757,6,Vaquilla,hembra,2.5 Años,Nelore,380.83,21.9,8423.58,50541.92,CUATRO CAÑADAS,4600
758,6,Vaquilla,hembra,2.5 Años,Nelore,385.83,22.0,8573.14,51439.3,CUATRO CAÑADAS,4710
759,1,Toro,macho,4 Años,Nelore,495.0,20.5,10401.19,10401.19,CABEZAS,33210
760,2,Vaca,hembra,5 Años,Nelore,358.75,18.5,6636.88,13273.75,CABEZAS,2590
761,1,Vaquilla,hembra,1 Año,Anelorado,215.0,17.5,3856.56,3856.56,CABEZAS,33410
762,2,Torillo,macho,1 Año,Mestizo,205.5,18.5,3839.91,7679.81,CABEZAS,33120
763,1,Vaca,hembra,5 Años,Mestizo,345.0,13.1,4632.49,4632.49,CABEZAS,33310
764,9,Torillo,macho,2.5 Años,Anelorado,285.56,18.2,5301.14,47709.48,MONTERO,19400
765,9,Torillo,macho,2 Años,Nelore,257.78,24.0,6310.45,56793.6,MONTERO,19200
766,6,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,471.67,20.3,9670.65,58023.49,WARNES,8180
767,6,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,470.83,18.7,8892.57,53355.78,WARNES,8330
768,7,Vaca,hembra,5 Años,Nelore SIN PREÑEZ,382.86,16.5,6380.36,44662.2,WARNES,25720
769,5,Vaca,hembra,5 Años,Mestizo,328.0,17.6,5830.53,29152.64,CABEZAS,4910
770,5,Vaca,hembra,5 Años,Mestizo,279.0,16,4508.64,22543.2,CABEZAS,4990
771,19,Ternero,macho,8 Meses,Nelore H. DE T. REG.,173.68,28.8,5102.02,96940.8,YAPACANI,18960
772,9,Mixto Bovino,mixto,8 Meses,,163.33,22.5,3748.42,33736.5,YAPACANI,19090
773,12,Ternera,hembra,8 Meses,Nelore H. DE T. REG.,168.33,21.0,3605.63,43268.4,YAPACANI,27420
774,9,Ternera,hembra,<= 4 Meses,Gvr,104.92,33.0,3496.94,31472.1,SAN JAVIER,27230
775,2,Vaca,hembra,5 Años,Anelorado,300.0,16.0,4920.0,9840.0,SAN JAVIER,30980
776,9,Torillo,macho,1.5 Años,Mestizo,279.44,17.1,4873.99,43866.63,SAN JAVIER,23060
777,8,Ternero,macho,10 Meses,Anelorado,176.88,20.5,3698.56,29587.65,SAN JAVIER,23150
778,11,Torillo,macho,2.5 Años,Nelore CONFINAMIENT.,448.64,22.7,10285.97,113144.74,PAILON SUR,12290
779,13,Torillo,macho,2.5 Años,Nelore CONFINAMIENT.,443.08,22.75,10180.87,132350.4,PAILON SUR,12480
780,8,Torillo,macho,2.5 Años,Nelore CONFINAMIENT.,428.75,22.8,9873.26,78986.04,PAILON SUR,12640
781,7,Torillo,macho,2.5 Años,Nelore CONFINAMIENT.,428.57,22.8,9869.11,69084.0,PAILON SUR,12750
782,8,Vaquilla,hembra,2.5 Años,Nelore,389.38,20.5,8062.11,64496.08,SAN MIGUEL DE V.,8980
783,8,Vaquilla,hembra,2.5 Años,Nelore,411.25,21.4,8888.76,71110.06,SAN MIGUEL DE V.,9120
785,8,Vaquilla,hembra,2.5 Años,Nelore,306.88,20.0,6198.98,49591.0,SAN MIGUEL DE V.,9330
786,8,Vaquilla,hembra,2.5 Años,Nelore,308.75,20.5,6392.67,51141.35,SAN MIGUEL DE V.,9420
787,25,Ternero,macho,8 Meses,Nelore,193.0,26.2,5157.73,128943.3,S.I. MOXOS(BENI),19530
788,9,Torillo,macho,1 Año,Nelore,142.78,25.5,3713.71,33422.85,S.I. MOXOS(BENI),19650
789,14,Vaquilla,hembra,1 Año,Nelore,119.12,24.0,2859.02,40024.8,S.I. MOXOS(BENI),19770
790,6,Ternera,hembra,7 Meses,Nelore,157.5,22.8,3662.82,21976.92,S.I. MOXOS(BENI),19870
791,4,Ternero,macho,7 Meses,Nelore,100.0,34,3468.0,13872.0,S.I. MOXOS(BENI),19980
792,6,Vaquilla,hembra,1 Año,Nelore,200.0,20,4080.0,24480.0,S.I. MOXOS(BENI),20070
793,1,Toro,macho,5 Años,Nelore,500.0,20.0,10250.0,10250.0,S.I. MOXOS(BENI),31530
794,1,Torillo,macho,1 Año,Brahman,265.0,30.0,8148.75,8148.75,S.I. MOXOS(BENI),31670
796,4,Vaca,hembra,5 Años,Nelore,382.5,15.5,6047.33,24189.3,SAN JOSÉ DE CH.,17520
797,6,Toro,macho,3 Años,Nelore,445.83,21.4,9636.17,57817.45,PAILON SUR,17980
798,11,Toro,macho,3 Años,Nelore,387.27,22.7,8966.85,98636.04,PAILON SUR,18120
801,16,Ternero,macho,7 Meses,Nelore,175.63,27.5,4926.42,78820.5,GUARAYOS,18310
802,6,Vaca,hembra,5 Años,Nelore,340.83,18.0,6257.64,37546.2,GUARAYOS,18700
803,4,Vaca,hembra,5 Años,Nelore,296.25,15,4532.63,18130.5,GUARAYOS,23240
804,20,Torillo,macho,1 Año,Nelore,159.5,28,4555.32,91106.4,LA GUARDIA,20150
805,9,Toro,macho,3 Años,Nelore,428.89,20.0,8663.58,77972.0,URUBICHA,24940
806,4,Vaca,hembra,5 Años,Nelore,386.25,17,6631.91,26527.65,URUBICHA,25100
807,12,Toro,macho,3 Años,Nelore,481.25,21.65,10523.25,126279.04,BUENA VISTA,15040
808,10,Torillo,macho,2.5 Años,Nelore,428.5,20.0,8655.7,86557.0,SAN JAVIER,21150
809,2,Vaca,hembra,5 Años,Nelore,408.5,16.5,6807.28,13614.56,SAN JAVIER,21240
810,6,Toro,macho,5 Años,Nelore,397.5,18.8,7547.73,45286.38,SAN JAVIER,21430
811,11,Vaquilla,hembra,2 Años,Nelore,274.55,19.3,5404.79,59451.72,GUARAYOS,24690
812,10,Torillo,macho,2 Años,Nelore,333.0,25.5,8661.33,86613.3,GUARAYOS,24830
814,7,Vaca,hembra,5 Años,Nelore,335.0,16.5,5582.78,39466.35,PAILON SUR,20440
815,10,Vaca,hembra,5 Años,Nelore,363.5,18.0,6608.43,66084.3,PAILON SUR,20520
816,8,Vaca,hembra,5 Años,Nelore,369.38,18.2,6789.94,54318.81,PAILON SUR,20650
818,8,Vaca,hembra,5 Años,Nelore,408.13,16.6,6842.71,54740.99,PAILON SUR,20870
820,6,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,480.83,20.8,10101.28,60608.08,SAN JOSÉ DE CH.,15250
823,6,Vaquillona,hembra,4 Años,Nelore SIN PREÑEZ,525.0,20.5,10870.13,65220.75,SAN JOSÉ DE CH.,15670
824,14,Vaca,hembra,5 Años,Nelore,386.79,15.9,6211.46,86959.48,CONCEPCIÓN,22290
825,6,Vaca,hembra,5 Años,Nelore,400.83,15.0,6072.57,36435.75,CONCEPCIÓN,22500
826,7,Vaca,hembra,5 Años,Nelore,486.43,14.0,6878.12,48146.7,CONCEPCIÓN,22630
827,8,Torillo,macho,1.5 Años,Nelore,336.88,20.4,7009.8,56077.56,CONCEPCIÓN,22910
828,5,Vaca,hembra,5 Años,Nelore,327.0,18.8,6209.08,31045.38,CUATRO CAÑADAS,26680
829,5,Vaca,hembra,5 Años,Nelore,408.0,18.1,7458.65,37293.24,CUATRO CAÑADAS,26800
831,5,Torillo,macho,2 años,Brahman,358.0,21.5,7773.97,38869.85,PAILON SUR(TITA),23410
832,5,Vaquillona,hembra,4 Años,Brahman,410.0,19.1,7909.31,39546.55,PAILON SUR(TITA),23550
833,8,Torillo,macho,3 años,Brahman,304.38,18.5,5743.65,45948.45,PAILON SUR(TITA),23810
834,2,Vaca,hembra,5 Años,Brahman,370.0,13,4930.25,9860.5,PAILON SUR(TITA),23650
835,8,Vaca,hembra,5 Años,Nelore,403.13,18.2,7410.34,59281.95,CABEZAS,15850
836,2,Vaca,hembra,5 Años,Mestiza,280.0,15.5,4448.5,8897.0,CABEZAS,33030
837,11,Torillo,macho,2 Años,Mestizo,246.36,16.5,4146.24,45609.3,CABEZAS,24400
838,5,Vaca,hembra,5 Años,Mestizo,311.0,16.5,5182.82,25914.08,CABEZAS,24490
850,1,Torillo,macho,2 Años,Criollo,345.0,14.0,4950.75,4950.75,SAN JULIAN,29930
851,6,Torillo,macho,1 Año,Nelore,279.17,23.0,6549.33,39295.5,SAN JULIAN,28800
852,1,Torillo,macho,1 Año,Nelore,215.0,20.0,4407.5,4407.5,SAN JULIAN,31610
853,10,Ternero,macho,8 Meses,Nelore,215.5,25.5,5605.16,56051.55,SAN JULIAN,28660
854,7,Vaca,hembra,5 Años,Nelore,460.71,15.0,6979.76,48858.75,CONCEPCIÓN,22740
855,6,Torillo,macho,1 Año,Girholando,206.67,16.5,3478.26,20869.2,PAILON SUR (TITA),23920
856,5,Vaquillona,hembra,4 Años,Nelore,454.0,18.7,8574.7,42873.49,SAN JAVIER,26280
857,5,Vaquillona,hembra,4 Años,Nelore,491.0,18.8,9323.11,46615.54,SAN JAVIER,26380
858,5,Vaca,hembra,5 Años,Nelore,426.0,16.0,6884.16,34420.8,SAN JAVIER,26540
859,2,Vaca,hembra,5 Años,Anelorado,385.0,16.0,6314.0,12628.0,CUATRO CAÑADAS,26880
860,1,Toro,macho,4 Años,Anelorado,515.0,21.0,11085.38,11085.38,CUATRO CAÑADAS,27120
861,5,Torillo,macho,1 Año,Mestizo,238.0,16.0,3884.16,19420.8,MINEROS,27860
862,1,Novillo,macho,2 Años,Mestizo,250.0,14.0,3587.5,3587.5,MINEROS,33790
863,3,Ternero,macho,8 Meses,Nelore,200.0,23,4715.0,14145.0,MINEROS,33530
864,4,Vaquilla,hembra,1.5 Años,Nelore,272.5,18.0,5003.1,20012.4,ANDRES IBAÑEZ,28020
865,1,Toro,macho,3 Años,Nelore,390.0,19.3,7715.18,7715.18,SANTA ROSA DEL,30400
866,1,Toro,macho,5 Años,Nelore,590.0,18.5,11187.88,11187.88,ANDRES IBAÑEZ,33620
867,15,Ternero,macho,7 Meses,Nelore,136.0,27.7,3842.54,57638.16,CABEZAS,28940
868,11,Torillo,macho,2 Años,Nelore,341.36,22.0,7660.12,84262.2,CABEZAS,29160
869,1,Torillo,macho,2 Años,Mestizo,315.0,17.0,5488.88,5488.88,CABEZAS,33710
870,4,Torillo,macho,1 Año,Anelorado,268.75,21.0,5756.63,23026.5,EL TORNO,29250
871,1,Torillo,macho,2 Años,Nelore,266.5,21,5596.5,5596.5,ANDRES IBAÑEZ,33900
872,2,Vaquilla,hembra,1 Año,Nelore,195.0,21,4197.38,8394.75,ANDRES IBAÑEZ,33850
